Deal Registration: Deal Registration Name,Deal Registration: Created Date,Opportunity Owner,Inside Sales Rep,Sales Territory,Account Name,Billing Country,Partner Account,Opportunity Type,Stage,Amount (converted),Close Date
DR-1490,02/04/2025,Sigrid Halvorsen,,Nordics,Account 290 GmbH,Sweden,Softcat,New Business,0 - Closed Lost,"$174,000",2025-09-10
DR-2673,2024-07-20,Lukas Brandt,Tobias Frank,DACH,Old Account 019,Germany,TD Synnex,New Business,7 - Closed Won,120000,2024-09-30
DR-1631,2025-06-12,Sigrid Halvorsen,Priya Raman,EMEA - UKI & Nordics - Commercial,Account 031 SAS,United Kingdom,Northbridge Data,New Business,Rejected - Duplicate,"$203,000",2025-08-28
DR-1532,01/04/2025,Katharina Vogel,Lena Wirth,DACH,Account 332 Ltd,Austria,Northbridge Data,New Business,Expired,25000,2025-10-04
DR-2172,2026-02-20,Katharina Vogel,Tobias Frank,EMEA - DACH - Enterprise,Account 172 AB,Switzerland,Cancom,New Logo,3 - Discovery,"$92,000",2026-06-10
DR-2658,2024-02-25,Lukas Brandt,Tobias Frank,DACH,Old Account 004,Germany,TD Synnex,New Business,7 - Closed Won,120000,2024-09-30
DR-1318,2025-01-24,Stefan Huber,Lena Wirth,EMEA - DACH - Enterprise,Account 118 Ltd,Switzerland,TD Synnex,New Business,7 - Closed Won,59000,2025-08-10
DR-2612,2026-08-08,Lukas Brandt,,dach pod,Account 212 Ltd,Switzerland,Ingram Micro,New Logo,4 - Technical Validation,"$53,000",2026-12-31
DR-1600,2025-05-20,Yannis Papadakis,Paulo Neves,SEMEA,Account 000 Group,France,Computacenter,Renewal,0 - Closed Lost,"$75,000",2025-11-29
DR-2326,2026-04-14,Katharina Vogel,Tobias Frank,,Account 326 Ltd,Switzerland,Econocom,New Logo,0 - Closed Lost,"$229,000",2026-06-20
DR-2182,2026-02-19,Stefan Huber,Tobias Frank,EMEA - DACH - Enterprise,Account 182 AB,Switzerland,TD Synnex,Migration,7 - Closed Won,"EUR 128,000.00",2026-07-17
DR-2434,24 May 2026,Lukas Brandt,Tobias Frank,DACH,Account 034 Ltd,Germany,Arrow ECS,Migration,2 - Approved,171000,2026-08-05
DR-1963,02/11/2025,Tom Whitfield,Dan Eriksen,UKI & Nordics,Account 363 SAS,Ireland,Arrow ECS,New Logo,5 - Proposal,89000,2025-12-30
DR-2084,2026-01-28,Erik Lindqvist,,,Account 084 AB,Denmark,Computacenter,Upsell,5 - Proposal,"$13,000",2026-07-07
DR-1367,04 Feb 2025,Sofia Almeida,Paulo Neves,EMEA - Southern Europe,Account 167 AB,Italy,Ingram Micro,Renewal,0 - Closed Lost,"$120,000",2025-03-13
DR-2344,2026-04-15,Katharina Vogel,,DACH,Account 344 GmbH,Switzerland,Bechtle AG,New Logo,5 - Proposal,"EUR 89,000.00",2026-08-07
DR-2098,2026-01-04,Lukas Brandt,Tobias Frank,EMEA - DACH - Enterprise,Account 098 Group,Switzerland,Computacenter,Existing Business - Renewal,7 - Closed Won,,2026-07-01
DR-1496,18/04/2025,Aoife Brennan,Mollie Shaw,EMEA - UKI & Nordics - Commercial,Account 296 Ltd,Finland,Econocom,Existing Business - Renewal,Expired,8000,2025-07-21
DR-1462,2025-03-25,Lukas Brandt,,DACH,Account 262 Group,Switzerland,Arrow ECS,New Business,0 - Closed Lost,99000,2025-07-21
DR-1025,10/09/2024,Sigrid Halvorsen,Priya Raman,Nordics,Account 225 AB,Finland,Computacenter,Add-On,7 - Closed Won,118000,2025-01-09
DR-2162,2026-02-11,Elena Castells,Paulo Neves,Southern Europe,Account 162 Ltd,Spain,Cancom,New Logo,2 - Approved,"$70,000",2026-05-06
DR-2155,2026-02-06,Sofia Almeida,Paulo Neves,SEMEA,Account 155 Holdings,Spain,Ingram Micro,Existing Business - Renewal,Expired,"$228,000",2026-06-04
DR-1665,2025-06-15,Julien Marchand,Paulo Neves,EMEA - Southern Europe,Account 065 Holdings,Israel,Ingram Micro,New Business,7 - Closed Won,152000,2025-12-31
DR-1070,04/09/2024,Katharina Vogel,Tobias Frank,EMEA - Other,Account 270 GmbH,Austria,Arrow ECS,Existing Business - Add-On,0 - Closed Lost,"EUR 204,000.00",2025-01-18
DR-1610,2025-05-25,Lukas Brandt,,EMEA - DACH - Enterprise,Account 010 Holdings,Austria,Cancom,New Business,0 - Closed Lost,"EUR 80,000.00",2025-12-04
DR-1181,2024-11-19,Yannis Papadakis,Paulo Neves,SEMEA,Account 381 Ltd,Spain,Econocom,Existing Business - Renewal,7 - Closed Won,"$140,000",2025-04-07
DR-2217,2026-03-06,Tom Whitfield,Mollie Shaw,EMEA - UKI & Nordics - Commercial,Account 217 Ltd,Norway,TD Synnex,New Logo,4 - Technical Validation,"EUR 170,000.00",2026-08-03
DR-1190,2024-11-21,Katharina Vogel,Tobias Frank,dach pod,Account 390 SAS,Switzerland,SHI EMEA,Existing Business - Add-On,0 - Closed Lost,"EUR 214,000.00",2025-01-15
DR-1936,2025-10-14,Lukas Brandt,,DACH,Account 336 Group,Germany,Cancom,New Business,6 - Negotiation,,2026-04-14
DR-2025,23 Dec 2025,Tom Whitfield,Priya Raman,Nordics,Account 025 GmbH,Ireland,Econocom,New Logo,7 - Closed Won,"EUR 19,000.00",2026-01-25
DR-2298,2026-04-21,Sigrid Halvorsen,Dan Eriksen,EMEA - UKI & Nordics - Commercial,Account 298 Holdings,Finland,Arrow ECS,Add-On,1 - Submitted,156000,2026-05-29
DR-2044,13 Dec 2025,Elena Castells,Chiara Bruno,Southern Europe,Account 044 SAS,Israel,Softcat,Renewal,5 - Proposal,"$118,000",2026-06-16
DR-1605,2025-05-05,Katharina Vogel,Lena Wirth,DACH,Account 005 SAS,Switzerland,Arrow ECS,Existing Business - Renewal,2 - Approved,174000,2025-11-04
DR-1953,22/11/2025,Aoife Brennan,Dan Eriksen,EMEA - UKI & Nordics - Commercial,Account 353 Group,Sweden,Bechtle AG,New Logo,5 - Proposal,35000,2026-03-16
DR-2080,2026-01-26,Callum Reid,Dan Eriksen,Nordics,Account 080 Ltd,Ireland,Computacenter,Renewal,3 - Discovery,217000,2026-06-17
DR-2582,2026-08-05,Callum Reid,,Nordics,Account 182 Ltd,Finland,Cancom,Existing Business - Renewal,4 - Technical Validation,"$61,000",2026-09-30
DR-1110,2024-10-28,Sigrid Halvorsen,Mollie Shaw,,Account 310 AB,Ireland,TD Synnex,Upsell,0 - Closed Lost,,2025-02-14
